Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Dec 6",7:30am,AUD,High Impact Expected,GDP q/q,0.2%,0.5%,0.4%
"Wed, Dec 6",2:00pm,EUR,Low Impact Expected,German Factory Orders m/m,-3.7%,0.2%,0.7%
"Wed, Dec 6",4:30pm,GBP,Medium Impact Expected,Construction PMI,45.5,46.7,45.6
"Wed, Dec 6",5:00pm,EUR,Low Impact Expected,Retail Sales m/m,0.1%,0.2%,-0.1%
"Wed, Dec 6",5:03pm,GBP,Low Impact Expected,10-y Bond Auction,4.09|2.7,4.41|2.9,
"Wed, Dec 6",5:30pm,GBP,Low Impact Expected,BOE Financial Stability Report,,,
"Wed, Dec 6",5:30pm,GBP,Low Impact Expected,FPC Meeting Minutes,,,
"Wed, Dec 6",5:30pm,GBP,Low Impact Expected,FPC Statement,,,
"Wed, Dec 6",6:00pm,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,
"Wed, Dec 6",8:15pm,USD,High Impact Expected,ADP Non-Farm Employment Change,103K,131K,106K
"Wed, Dec 6",8:30pm,CAD,Low Impact Expected,Labor Productivity q/q,-0.8%,-0.6%,-0.1%
"Wed, Dec 6",8:30pm,CAD,Low Impact Expected,Trade Balance,3.0B,1.8B,1.1B
"Wed, Dec 6",8:30pm,USD,Low Impact Expected,Revised Nonfarm Productivity q/q,5.2%,4.8%,4.7%
"Wed, Dec 6",8:30pm,USD,Low Impact Expected,Revised Unit Labor Costs q/q,-1.2%,-0.9%,-0.8%
"Wed, Dec 6",8:30pm,USD,Low Impact Expected,Trade Balance,-64.3B,-64.1B,-61.2B
"Wed, Dec 6",10:00pm,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Dec 6",10:00pm,CAD,High Impact Expected,Overnight Rate,5.00%,5.00%,5.00%
"Wed, Dec 6",10:00pm,CAD,Medium Impact Expected,Ivey PMI,54.7,54.2,53.4
"Wed, Dec 6",10:00pm,EUR,Low Impact Expected,German Buba President Nagel Speaks,,,
"Wed, Dec 6",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-4.6M,-1.3M,1.6M
"Thu, Dec 7",7:30am,AUD,Low Impact Expected,Goods Trade Balance,7.13B,7.75B,6.18B
"Thu, Dec 7",10:00am,CNY,Low Impact Expected,USD-Denominated Trade Balance,68.4B,55.0B,56.5B
"Thu, Dec 7",10:01am,CNY,Low Impact Expected,Trade Balance,491B,392B,405B
"Thu, Dec 7",10:35am,JPY,Low Impact Expected,30-y Bond Auction,1.62|2.6,1.74|3.6,
"Thu, Dec 7",12:00pm,JPY,Low Impact Expected,Leading Indicators,108.7%,108.2%,108.9%
"Thu, Dec 7",1:45pm,CHF,Low Impact Expected,Unemployment Rate,2.1%,2.1%,2.1%
"Thu, Dec 7",2:00pm,EUR,Low Impact Expected,German Industrial Production m/m,-0.4%,0.1%,-1.3%
"Thu, Dec 7",2:00pm,GBP,Low Impact Expected,Halifax HPI m/m,0.5%,0.3%,1.2%
"Thu, Dec 7",2:45pm,EUR,Low Impact Expected,French Trade Balance,-8.6B,-8.5B,-8.9B
"Thu, Dec 7",3:00pm,CHF,Medium Impact Expected,Foreign Currency Reserves,642B,658B,
"Thu, Dec 7",4:00pm,EUR,Low Impact Expected,Italian Industrial Production m/m,-0.2%,-0.4%,0.1%
"Thu, Dec 7",5:00pm,EUR,Low Impact Expected,Final Employment Change q/q,0.2%,0.3%,0.3%
"Thu, Dec 7",5:00pm,EUR,Low Impact Expected,Italian Retail Sales m/m,0.4%,-0.1%,-0.4%
"Thu, Dec 7",5:00pm,EUR,Low Impact Expected,Revised GDP q/q,-0.1%,-0.1%,-0.1%
"Thu, Dec 7",5:01pm,EUR,Low Impact Expected,French 10-y Bond Auction,2.75|3.0,3.32|2.0,
"Thu, Dec 7",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Thu, Dec 7",7:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,-40.8%,8.8%,
"Thu, Dec 7",8:30pm,CAD,Low Impact Expected,Building Permits m/m,2.3%,1.1%,-8.1%
"Thu, Dec 7",8:30pm,USD,High Impact Expected,Unemployment Claims,220K,221K,219K
"Thu, Dec 7",10:00pm,USD,Low Impact Expected,Final Wholesale Inventories m/m,-0.4%,-0.2%,-0.2%
"Thu, Dec 7",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-117B,-110B,10B
"Fri, Dec 8",12:35am,CAD,Low Impact Expected,Gov Council Member Gravelle Speaks,,,
"Fri, Dec 8",3:00am,USD,Low Impact Expected,Consumer Credit m/m,5.1B,8.3B,12.2B
"Fri, Dec 8",4:45am,NZD,Low Impact Expected,Manufacturing Sales q/q,-2.8%,-0.8%,
"Fri, Dec 8",6:30am,JPY,Low Impact Expected,Average Cash Earnings y/y,1.5%,1.0%,0.6%
"Fri, Dec 8",6:30am,JPY,Low Impact Expected,Household Spending y/y,-2.5%,-2.9%,-2.8%
"Fri, Dec 8",6:50am,JPY,Low Impact Expected,Bank Lending y/y,2.8%,2.8%,2.7%
"Fri, Dec 8",6:50am,JPY,Low Impact Expected,Current Account,2.62T,1.85T,2.01T
"Fri, Dec 8",6:50am,JPY,Low Impact Expected,Final GDP Price Index y/y,5.3%,5.1%,5.1%
"Fri, Dec 8",6:50am,JPY,Low Impact Expected,Final GDP q/q,-0.7%,-0.5%,-0.5%
"Fri, Dec 8",12:00pm,JPY,Low Impact Expected,Economy Watchers Sentiment,49.5,49.0,49.5
"Fri, Dec 8",2:00pm,EUR,Low Impact Expected,German Final CPI m/m,-0.4%,-0.4%,-0.4%
"Fri, Dec 8",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Fri, Dec 8",4:30pm,GBP,Low Impact Expected,Consumer Inflation Expectations,3.3%,3.6%,
"Fri, Dec 8",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Fri, Dec 8",8:30pm,CAD,Low Impact Expected,Capacity Utilization Rate,79.7%,81.4%,79.6%
"Fri, Dec 8",8:30pm,USD,High Impact Expected,Average Hourly Earnings m/m,0.4%,0.3%,0.2%
"Fri, Dec 8",8:30pm,USD,High Impact Expected,Non-Farm Employment Change,199K,184K,150K
"Fri, Dec 8",8:30pm,USD,High Impact Expected,Unemployment Rate,3.7%,3.9%,3.9%
"Fri, Dec 8",10:00pm,USD,High Impact Expected,Prelim UoM Consumer Sentiment,69.4,62.0,61.3
"Fri, Dec 8",10:00pm,USD,Medium Impact Expected,Prelim UoM Inflation Expectations,3.1%,4.5%,
"Sat, Dec 9",8:30am,CNY,High Impact Expected,CPI y/y,-0.5%,-0.2%,-0.2%
"Sat, Dec 9",8:30am,CNY,Medium Impact Expected,PPI y/y,-3.0%,-2.8%,-2.6%
"Mon, Dec 11",6:50am,JPY,Low Impact Expected,BSI Manufacturing Index,5.7,5.6,5.4
"Mon, Dec 11",6:50am,JPY,Low Impact Expected,M2 Money Stock y/y,2.3%,2.5%,2.4%
"Mon, Dec 11",7:01am,GBP,Low Impact Expected,Rightmove HPI m/m,-1.9%,-1.7%,
"Mon, Dec 11",1:13pm,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-13.6%,-20.6%,
"Tue, Dec 12",1:01am,USD,Medium Impact Expected,10-y Bond Auction,4.30|2.5,4.52|2.5,
"Tue, Dec 12",4:45am,NZD,Low Impact Expected,Visitor Arrivals m/m,-8.0%,2.3%,
"Tue, Dec 12",5:20am,AUD,High Impact Expected,RBA Gov Bullock Speaks,,,
"Tue, Dec 12",6:30am,AUD,Low Impact Expected,Westpac Consumer Sentiment,2.7%,-2.6%,
"Tue, Dec 12",6:50am,JPY,Low Impact Expected,PPI y/y,0.3%,0.1%,0.9%
"Tue, Dec 12",7:30am,AUD,Low Impact Expected,NAB Business Confidence,-9,-3,
"Tue, Dec 12",2:00pm,EUR,Low Impact Expected,German WPI m/m,-0.2%,-0.1%,-0.7%
"Tue, Dec 12",2:00pm,GBP,High Impact Expected,Claimant Count Change,16.0K,20.3K,8.9K
"Tue, Dec 12",2:00pm,GBP,Medium Impact Expected,Average Earnings Index 3m/y,7.2%,7.7%,8.0%
"Tue, Dec 12",2:00pm,GBP,Low Impact Expected,Unemployment Rate,4.2%,4.2%,4.2%
"Tue, Dec 12",5:00pm,EUR,Low Impact Expected,ZEW Economic Sentiment,23.0,13.3,13.8
"Tue, Dec 12",5:00pm,EUR,Low Impact Expected,German ZEW Economic Sentiment,12.8,9.6,9.8
"Tue, Dec 12",6:00pm,USD,Low Impact Expected,NFIB Small Business Index,90.6,90.7,90.7
"Tue, Dec 12",8:30pm,USD,High Impact Expected,Core CPI m/m,0.3%,0.3%,0.2%
"Tue, Dec 12",8:30pm,USD,High Impact Expected,CPI m/m,0.1%,0.0%,0.0%
"Tue, Dec 12",8:30pm,USD,High Impact Expected,CPI y/y,3.1%,3.1%,3.2%
"Wed, Dec 13",1:01am,USD,Medium Impact Expected,30-y Bond Auction,4.34|2.4,4.77|2.2,
"Wed, Dec 13",1:58am,USD,Low Impact Expected,Federal Budget Balance,-314.0B,-293.5B,-66.6B
"Wed, Dec 13",4:45am,NZD,Low Impact Expected,Current Account,-11.47B,-12.15B,-4.65B
"Wed, Dec 13",6:00am,NZD,Low Impact Expected,FPI m/m,-0.2%,-0.9%,
"Wed, Dec 13",6:50am,JPY,Low Impact Expected,Tankan Manufacturing Index,12,10,9
"Wed, Dec 13",6:50am,JPY,Low Impact Expected,Tankan Non-Manufacturing Index,30,27,27
"Wed, Dec 13",7:30am,AUD,Low Impact Expected,Mid-Year Economic and Fiscal Outlook,,,
"Wed, Dec 13",2:00pm,GBP,High Impact Expected,GDP m/m,-0.3%,-0.1%,0.2%
"Wed, Dec 13",2:00pm,GBP,Low Impact Expected,Construction Output m/m,-0.5%,-0.2%,0.4%
"Wed, Dec 13",2:00pm,GBP,Low Impact Expected,Goods Trade Balance,-17.0B,-14.1B,-14.3B
"Wed, Dec 13",2:00pm,GBP,Low Impact Expected,Index of Services 3m/3m,0.1%,0.2%,-0.1%
"Wed, Dec 13",2:00pm,GBP,Low Impact Expected,Industrial Production m/m,-0.8%,-0.1%,0.0%
"Wed, Dec 13",2:00pm,GBP,Low Impact Expected,Manufacturing Production m/m,-1.1%,0.0%,0.1%
"Wed, Dec 13",3:00pm,CHF,Low Impact Expected,SECO Economic Forecasts,,,
"Wed, Dec 13",4:00pm,EUR,Low Impact Expected,Italian Quarterly Unemployment Rate,7.6%,7.6%,7.7%
"Wed, Dec 13",4:01pm,CNY,Medium Impact Expected,New Loans,1090B,1300B,738B
"Wed, Dec 13",4:01pm,CNY,Low Impact Expected,M2 Money Supply y/y,10.0%,10.0%,10.3%
"Wed, Dec 13",5:00pm,EUR,Low Impact Expected,Industrial Production m/m,-0.7%,-0.3%,-1.0%
"Wed, Dec 13",5:03pm,GBP,Low Impact Expected,30-y Bond Auction,4.43|2.7,4.66|2.3,
"Wed, Dec 13",7:50pm,GBP,Low Impact Expected,NIESR GDP Estimate,-0.1%,0.0%,
"Wed, Dec 13",8:30pm,USD,High Impact Expected,Core PPI m/m,0.0%,0.2%,0.0%
"Wed, Dec 13",8:30pm,USD,High Impact Expected,PPI m/m,0.0%,0.0%,-0.4%
"Wed, Dec 13",9:30pm,GBP,Low Impact Expected,CB Leading Index m/m,-0.5%,-0.4%,
"Wed, Dec 13",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-4.3M,-1.9M,-4.6M
"Thu, Dec 14",2:00am,USD,High Impact Expected,Federal Funds Rate,5.50%,5.50%,5.50%
"Thu, Dec 14",2:00am,USD,High Impact Expected,FOMC Economic Projections,,,
"Thu, Dec 14",2:00am,USD,High Impact Expected,FOMC Statement,,,
"Thu, Dec 14",2:30am,USD,High Impact Expected,FOMC Press Conference,,,
"Thu, Dec 14",4:45am,NZD,High Impact Expected,GDP q/q,-0.3%,0.2%,0.5%
"Thu, Dec 14",6:50am,JPY,Low Impact Expected,Core Machinery Orders m/m,0.7%,-0.4%,1.4%
"Thu, Dec 14",7:00am,AUD,Low Impact Expected,MI Inflation Expectations,4.5%,4.9%,
"Thu, Dec 14",7:01am,GBP,Low Impact Expected,RICS House Price Balance,-43%,-57%,-61%
"Thu, Dec 14",7:30am,AUD,High Impact Expected,Employment Change,61.5K,10.6K,42.7K
"Thu, Dec 14",7:30am,AUD,High Impact Expected,Unemployment Rate,3.9%,3.8%,3.8%
"Thu, Dec 14",11:30am,JPY,Low Impact Expected,Revised Industrial Production m/m,1.3%,1.0%,1.0%
"Thu, Dec 14",2:30pm,CHF,Low Impact Expected,PPI m/m,-0.9%,0.1%,0.2%
"Thu, Dec 14",3:30pm,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,
"Thu, Dec 14",3:30pm,CHF,High Impact Expected,SNB Policy Rate,1.75%,1.75%,1.75%
"Thu, Dec 14",4:00pm,CHF,High Impact Expected,SNB Press Conference,,,
"Thu, Dec 14",7:00pm,GBP,High Impact Expected,Monetary Policy Summary,,,
"Thu, Dec 14",7:00pm,GBP,High Impact Expected,MPC Official Bank Rate Votes,3-0-6,2-0-7,3-0-6
"Thu, Dec 14",7:00pm,GBP,High Impact Expected,Official Bank Rate,5.25%,5.25%,5.25%
"Thu, Dec 14",7:00pm,GBP,Low Impact Expected,BOE Inflation Letter,,,
"Thu, Dec 14",8:00pm,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,
"Thu, Dec 14",8:15pm,EUR,High Impact Expected,Main Refinancing Rate,4.50%,4.50%,4.50%
"Thu, Dec 14",8:15pm,EUR,High Impact Expected,Monetary Policy Statement,,,
"Thu, Dec 14",8:30pm,CAD,Low Impact Expected,Manufacturing Sales m/m,-2.8%,-2.1%,0.7%
"Thu, Dec 14",8:30pm,USD,High Impact Expected,Core Retail Sales m/m,0.2%,-0.1%,0.0%
"Thu, Dec 14",8:30pm,USD,High Impact Expected,Retail Sales m/m,0.3%,-0.1%,-0.2%
"Thu, Dec 14",8:30pm,USD,High Impact Expected,Unemployment Claims,202K,219K,221K
"Thu, Dec 14",8:30pm,USD,Low Impact Expected,Import Prices m/m,-0.4%,-0.7%,-0.6%
"Thu, Dec 14",8:45pm,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Dec 14",10:00pm,USD,Low Impact Expected,Business Inventories m/m,-0.1%,0.0%,0.2%
"Thu, Dec 14",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-55B,-60B,-117B
"Fri, Dec 15",4:30am,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,46.7,42.9,
"Fri, Dec 15",5:00am,AUD,Low Impact Expected,Flash Manufacturing PMI,47.8,47.7,
"Fri, Dec 15",5:00am,AUD,Low Impact Expected,Flash Services PMI,47.6,46.0,
"Fri, Dec 15",7:01am,GBP,Low Impact Expected,GfK Consumer Confidence,-22,-23,-24
"Fri, Dec 15",7:30am,JPY,Low Impact Expected,Flash Manufacturing PMI,47.7,48.2,48.3
"Fri, Dec 15",8:30am,CNY,Low Impact Expected,New Home Prices m/m,-0.37%,-0.38%,
"Fri, Dec 15",9:00am,CNY,High Impact Expected,Industrial Production y/y,6.6%,5.7%,4.6%
"Fri, Dec 15",9:00am,CNY,Medium Impact Expected,Retail Sales y/y,10.1%,12.6%,7.6%
"Fri, Dec 15",9:00am,CNY,Low Impact Expected,Fixed Asset Investment ytd/y,2.9%,3.0%,2.9%
"Fri, Dec 15",9:00am,CNY,Low Impact Expected,NBS Press Conference,,,
"Fri, Dec 15",9:00am,CNY,Low Impact Expected,Unemployment Rate,5.0%,5.0%,5.0%
"Fri, Dec 15",11:30am,JPY,Low Impact Expected,Tertiary Industry Activity m/m,-0.8%,0.2%,-1.2%
"Fri, Dec 15",2:45pm,EUR,Low Impact Expected,French Final CPI m/m,-0.2%,-0.2%,-0.2%
"Fri, Dec 15",3:15pm,EUR,High Impact Expected,French Flash Manufacturing PMI,42.0,43.3,42.9
"Fri, Dec 15",3:15pm,EUR,High Impact Expected,French Flash Services PMI,44.3,46.1,45.4
"Fri, Dec 15",3:30pm,EUR,High Impact Expected,German Flash Manufacturing PMI,43.1,43.1,42.6
"Fri, Dec 15",3:30pm,EUR,High Impact Expected,German Flash Services PMI,48.4,49.9,49.6
"Fri, Dec 15",4:00pm,EUR,Medium Impact Expected,Flash Manufacturing PMI,44.2,44.5,44.2
"Fri, Dec 15",4:00pm,EUR,Medium Impact Expected,Flash Services PMI,48.1,49.0,48.7
"Fri, Dec 15",4:30pm,GBP,High Impact Expected,Flash Manufacturing PMI,46.4,47.6,47.2
"Fri, Dec 15",4:30pm,GBP,High Impact Expected,Flash Services PMI,52.7,51.0,50.9
"Fri, Dec 15",5:00pm,EUR,Low Impact Expected,Italian Trade Balance,4.70B,3.45B,2.39B
"Fri, Dec 15",5:00pm,EUR,Low Impact Expected,Trade Balance,10.9B,10.3B,8.7B
"Fri, Dec 15",5:00pm,GBP,Low Impact Expected,MPC Member Ramsden Speaks,,,
"Fri, Dec 15",8:15pm,CAD,Low Impact Expected,Housing Starts,213K,262K,272K
"Fri, Dec 15",8:30pm,CAD,Low Impact Expected,Foreign Securities Purchases,-15.75B,-3.98B,-15.06B
"Fri, Dec 15",8:30pm,CAD,Low Impact Expected,Wholesale Sales m/m,-0.5%,-1.1%,-0.6%
"Fri, Dec 15",8:30pm,USD,High Impact Expected,Empire State Manufacturing Index,-14.5,2.0,9.1
"Fri, Dec 15",9:15pm,USD,Medium Impact Expected,Industrial Production m/m,0.2%,0.3%,-0.9%
"Fri, Dec 15",9:15pm,USD,Low Impact Expected,Capacity Utilization Rate,78.8%,79.1%,78.7%
"Fri, Dec 15",9:45pm,USD,High Impact Expected,Flash Manufacturing PMI,48.2,49.5,49.4
"Fri, Dec 15",9:45pm,USD,High Impact Expected,Flash Services PMI,51.3,50.7,50.8
"Sat, Dec 16",12:25am,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,
"Sun, Dec 17",9:25pm,NZD,Low Impact Expected,Westpac Consumer Sentiment,88.9,80.2,
"Mon, Dec 18",4:30am,NZD,Low Impact Expected,BusinessNZ Services Index,51.2,49.2,
"Mon, Dec 18",4:00pm,EUR,Medium Impact Expected,German ifo Business Climate,86.4,87.6,87.2
"Mon, Dec 18",5:30pm,GBP,Low Impact Expected,MPC Member Broadbent Speaks,,,
"Mon, Dec 18",6:00pm,EUR,Low Impact Expected,German Buba Monthly Report,,,
"Mon, Dec 18",8:30pm,CAD,Low Impact Expected,NHPI m/m,-0.2%,0.1%,0.0%
"Mon, Dec 18",10:00pm,USD,Low Impact Expected,NAHB Housing Market Index,37,36,34
"Tue, Dec 19",4:45am,NZD,Low Impact Expected,Trade Balance,-1234M,-1200M,-1730M
"Tue, Dec 19",7:00am,NZD,Low Impact Expected,ANZ Business Confidence,33.2,30.8,
"Tue, Dec 19",7:30am,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,
"Tue, Dec 19",9:49am,JPY,High Impact Expected,Monetary Policy Statement,,,
"Tue, Dec 19",9:49am,JPY,Medium Impact Expected,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
"Tue, Dec 19",1:30pm,JPY,High Impact Expected,BOJ Press Conference,,,
"Tue, Dec 19",2:00pm,CHF,Low Impact Expected,Trade Balance,3.71B,3.50B,4.71B
"Tue, Dec 19",5:00pm,EUR,Low Impact Expected,Final Core CPI y/y,3.6%,3.6%,3.6%
"Tue, Dec 19",5:00pm,EUR,Low Impact Expected,Final CPI y/y,2.4%,2.4%,2.4%
"Tue, Dec 19",5:03pm,GBP,Low Impact Expected,10-y Bond Auction,3.74|2.8,4.09|2.7,
"Tue, Dec 19",6:00pm,GBP,Low Impact Expected,CBI Industrial Order Expectations,-23,-28,-35
"Tue, Dec 19",8:00pm,GBP,Low Impact Expected,MPC Member Breeden Speaks,,,
"Tue, Dec 19",8:30pm,CAD,High Impact Expected,CPI m/m,0.1%,-0.1%,0.1%
"Tue, Dec 19",8:30pm,CAD,High Impact Expected,Median CPI y/y,3.4%,3.3%,3.4%
"Tue, Dec 19",8:30pm,CAD,High Impact Expected,Trimmed CPI y/y,3.5%,3.4%,3.5%
"Tue, Dec 19",8:30pm,CAD,Medium Impact Expected,Common CPI y/y,3.9%,4.0%,4.2%
"Tue, Dec 19",8:30pm,CAD,Low Impact Expected,IPPI m/m,-0.4%,-0.7%,-0.9%
"Tue, Dec 19",8:30pm,CAD,Low Impact Expected,RMPI m/m,-4.2%,-3.5%,-2.6%
"Tue, Dec 19",8:30pm,USD,Medium Impact Expected,Building Permits,1.46M,1.47M,1.50M
"Tue, Dec 19",8:30pm,USD,Low Impact Expected,Housing Starts,1.56M,1.36M,1.36M
"Tue, Dec 19",8:32pm,CAD,Low Impact Expected,Core CPI m/m,0.1%,0.3%,
"Tue, Dec 19",9:30pm,USD,Medium Impact Expected,FOMC Member Barkin Speaks,,,
"Tue, Dec 19",9:52pm,NZD,Low Impact Expected,GDT Price Index,2.3%,1.6%,
"Wed, Dec 20",12:30am,USD,Low Impact Expected,FOMC Member Bostic Speaks,,,
"Wed, Dec 20",2:00am,NZD,Medium Impact Expected,RBNZ Gov Orr Speaks,,,
