Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Nov 2",3:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,51.3,52.1,52.4
"Fri, Nov 2",4:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,51.5,51.5,51.5
"Fri, Nov 2",4:30pm,GBP,Low Impact Expected,Construction PMI,57.4,59.5,60.3
"Fri, Nov 2",6:00pm,CAD,High Impact Expected,Employment Change,63.0K,12.0K,51.1K
"Fri, Nov 2",6:00pm,CAD,High Impact Expected,Unemployment Rate,5.8%,5.9%,5.9%
"Fri, Nov 2",7:30pm,USD,High Impact Expected,Non-Farm Employment Change,166K,82K,96K
"Fri, Nov 2",7:30pm,USD,High Impact Expected,Unemployment Rate,4.7%,4.7%,4.7%
"Fri, Nov 2",7:30pm,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.2%,0.3%,0.3%
"Fri, Nov 2",9:00pm,USD,Medium Impact Expected,Factory Orders m/m,0.2%,-0.5%,-3.5%
"Sat, Nov 3",8:00am,CNY,Low Impact Expected,Non-Manufacturing PMI,65.0,64.6,
"Sun, Nov 4",2:00pm,CAD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Nov 4",2:00pm,USD,Non-Economic,Daylight Saving Time Shift,,,
"Mon, Nov 5",4:45am,NZD,High Impact Expected,Labor Cost Index q/q,0.9%,0.8%,0.7%
"Mon, Nov 5",5:30am,AUD,Low Impact Expected,AIG Services Index,53.2,56.4,
"Mon, Nov 5",6:30am,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,0.2%,
"Mon, Nov 5",6:50am,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
"Mon, Nov 5",All Day,JPY,Non-Economic,Bank Holiday,,,
"Mon, Nov 5",7:30am,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,2.7%,-0.4%,
"Mon, Nov 5",3:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,31.2K,-10.9K,
"Mon, Nov 5",4:30pm,EUR,Low Impact Expected,Sentix Investor Confidence,14.0,12.5,15.3
"Mon, Nov 5",4:30pm,GBP,High Impact Expected,Manufacturing Production m/m,-0.6%,0.1%,0.5%
"Mon, Nov 5",4:30pm,GBP,Medium Impact Expected,Final Services PMI,53.1,56.0,56.7
"Mon, Nov 5",4:30pm,GBP,Low Impact Expected,Industrial Production m/m,-0.4%,0.2%,0.1%
"Mon, Nov 5",9:00pm,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
"Mon, Nov 5",10:00pm,USD,High Impact Expected,ISM Services PMI,55.8,54.0,54.8
"Tue, Nov 6",1:00am,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
"Tue, Nov 6",2:00am,USD,Low Impact Expected,Loan Officer Survey,,,
"Tue, Nov 6",4:30am,USD,Low Impact Expected,FOMC Member Kroszner Speaks,,,
"Tue, Nov 6",7:01am,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,1.0%,3.0%,
"Tue, Nov 6",7:01am,GBP,Low Impact Expected,NIESR GDP Estimate,0.7%,0.8%,
"Tue, Nov 6",9:00am,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.8%,0.4%,
"Tue, Nov 6",12:00pm,JPY,Low Impact Expected,Leading Indicators,0.0%,0.0%,27.3%
"Tue, Nov 6",3:00pm,CHF,Low Impact Expected,Foreign Currency Reserves,49B,49B,
"Tue, Nov 6",3:15pm,EUR,Low Impact Expected,Spanish Services PMI,52.5,52.4,
"Tue, Nov 6",3:45pm,EUR,Low Impact Expected,Italian Services PMI,55.3,54.3,53.9
"Tue, Nov 6",4:00pm,EUR,Low Impact Expected,Final Services PMI,55.8,55.6,55.6
"Tue, Nov 6",5:00pm,EUR,Low Impact Expected,PPI m/m,0.4%,0.2%,0.1%
"Tue, Nov 6",5:00pm,EUR,Low Impact Expected,Retail Sales m/m,0.3%,0.5%,0.0%
"Tue, Nov 6",6:00pm,EUR,Medium Impact Expected,German Factory Orders m/m,-2.5%,-0.1%,1.9%
"Tue, Nov 6",7:30pm,CAD,Low Impact Expected,Gov Council Member Jenkins Speaks,,,
"Tue, Nov 6",8:30pm,CAD,Medium Impact Expected,Building Permits m/m,-1.7%,1.7%,1.7%
"Tue, Nov 6",10:00pm,CAD,High Impact Expected,Ivey PMI,57.1,55.0,56.0
"Tue, Nov 6",10:00pm,USD,Low Impact Expected,JOLTS Job Openings,4.15M,4.17M,
"Wed, Nov 7",1:40am,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Wed, Nov 7",5:30am,AUD,High Impact Expected,Cash Rate,6.75%,6.75%,6.50%
"Wed, Nov 7",5:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Wed, Nov 7",5:30am,AUD,Low Impact Expected,AIG Construction Index,57.4,55.2,
"Wed, Nov 7",7:01am,GBP,Low Impact Expected,Nationwide Consumer Confidence,98,97,99
"Wed, Nov 7",7:30am,AUD,Medium Impact Expected,Home Loans m/m,-2.4%,0.0%,1.4%
"Wed, Nov 7",7:30am,AUD,Low Impact Expected,HPI q/q,3.5%,3.0%,3.7%
"Wed, Nov 7",5:30pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.1%,0.4%,
"Wed, Nov 7",6:00pm,EUR,Medium Impact Expected,German Industrial Production m/m,0.3%,-0.3%,1.9%
"Wed, Nov 7",8:30pm,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,4.9%,3.0%,2.6%
"Wed, Nov 7",8:30pm,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,-0.2%,1.1%,1.4%
"Wed, Nov 7",9:00pm,USD,High Impact Expected,FOMC Member Mishkin Speaks,,,
"Wed, Nov 7",10:00pm,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.8%,0.2%,0.7%
"Wed, Nov 7",10:30pm,USD,Medium Impact Expected,Crude Oil Inventories,-0.8M,-1.3M,-3.9M
"Thu, Nov 8",1:00am,USD,Medium Impact Expected,10-y Bond Auction,4.35|2.3,4.49|3.0,
"Thu, Nov 8",1:00am,USD,Medium Impact Expected,FOMC Member Warsh Speaks,,,
"Thu, Nov 8",3:00am,NZD,High Impact Expected,RBNZ Financial Stability Report,,,
"Thu, Nov 8",3:00am,USD,Low Impact Expected,Consumer Credit m/m,3.7B,10.0B,15.4B
"Thu, Nov 8",4:45am,NZD,High Impact Expected,Employment Change q/q,-0.3%,0.4%,0.6%
"Thu, Nov 8",4:45am,NZD,High Impact Expected,Unemployment Rate,3.5%,3.6%,3.6%
"Thu, Nov 8",6:50am,JPY,Medium Impact Expected,Core Machinery Orders m/m,-7.6%,-2.0%,-7.7%
"Thu, Nov 8",6:50am,JPY,Low Impact Expected,Bank Lending y/y,0.7%,0.6%,
"Thu, Nov 8",6:50am,JPY,Low Impact Expected,M2 Money Stock y/y,1.9%,1.7%,1.7%
"Thu, Nov 8",7:30am,AUD,High Impact Expected,Employment Change,12.9K,21.0K,37.6K
"Thu, Nov 8",7:30am,AUD,Medium Impact Expected,Unemployment Rate,4.3%,4.2%,4.2%
"Thu, Nov 8",1:00pm,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,16.1%,16.3%,
"Thu, Nov 8",1:45pm,CHF,Low Impact Expected,Unemployment Rate,2.6%,2.6%,2.6%
"Thu, Nov 8",2:00pm,EUR,Low Impact Expected,German Trade Balance,17.9B,16.0B,15.5B
"Thu, Nov 8",2:00pm,JPY,Low Impact Expected,Economy Watchers Sentiment,41.5,43.8,42.9
"Thu, Nov 8",2:45pm,EUR,Low Impact Expected,French Gov Budget Balance,-51.7B,-63.2B,
"Thu, Nov 8",3:00pm,GBP,High Impact Expected,Halifax HPI m/m,-0.5%,0.5%,-0.6%
"Thu, Nov 8",5:00pm,EUR,Low Impact Expected,French 10-y Bond Auction,4.25|2.9,4.44|4.0,
"Thu, Nov 8",7:00pm,GBP,High Impact Expected,Official Bank Rate,5.75%,5.75%,5.75%
"Thu, Nov 8",7:45pm,EUR,Medium Impact Expected,Main Refinancing Rate,4.00%,4.00%,4.00%
"Thu, Nov 8",8:15pm,CAD,High Impact Expected,Housing Starts,220K,230K,281K
"Thu, Nov 8",8:30pm,CAD,Low Impact Expected,NHPI m/m,0.3%,0.4%,0.4%
"Thu, Nov 8",8:30pm,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Nov 8",8:30pm,USD,Medium Impact Expected,Unemployment Claims,317K,325K,330K
"Thu, Nov 8",10:00pm,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
"Thu, Nov 8",10:30pm,GBP,Low Impact Expected,CB Leading Index m/m,-0.1%,-0.2%,
"Thu, Nov 8",10:30pm,USD,Low Impact Expected,Natural Gas Storage,36B,30B,66B
"Fri, Nov 9",1:00am,USD,Low Impact Expected,30-y Bond Auction,4.67|3.0,5.06|1.6,
"Fri, Nov 9",6:15am,USD,Low Impact Expected,Treasury Sec Paulson Speaks,,,
"Fri, Nov 9",11:30am,JPY,Low Impact Expected,Revised Industrial Production m/m,-1.4%,-1.4%,-1.4%
"Fri, Nov 9",1:45pm,CHF,Medium Impact Expected,SECO Consumer Climate,15,11,15
"Fri, Nov 9",2:00pm,EUR,Low Impact Expected,German WPI m/m,0.5%,0.5%,0.9%
"Fri, Nov 9",2:45pm,EUR,Medium Impact Expected,French Industrial Production m/m,-1.1%,-0.4%,0.0%
"Fri, Nov 9",2:45pm,EUR,Low Impact Expected,French Trade Balance,-3.1B,-2.8B,-2.7B
"Fri, Nov 9",3:15pm,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
"Fri, Nov 9",4:00pm,EUR,Low Impact Expected,Italian Industrial Production m/m,-1.0%,-0.3%,1.0%
"Fri, Nov 9",4:30pm,GBP,Medium Impact Expected,Goods Trade Balance,-7.8B,-6.9B,-6.9B
"Fri, Nov 9",5:00pm,EUR,Low Impact Expected,EU Economic Forecasts,,,
"Fri, Nov 9",8:30pm,CAD,High Impact Expected,Trade Balance,2.6B,3.9B,4.3B
"Fri, Nov 9",8:30pm,USD,High Impact Expected,Trade Balance,-56.5B,-59.0B,-56.8B
"Fri, Nov 9",8:30pm,USD,Medium Impact Expected,Import Prices m/m,1.8%,1.0%,0.8%
"Fri, Nov 9",10:00pm,USD,High Impact Expected,Prelim UoM Consumer Sentiment,75.0,80.0,80.9
"Fri, Nov 9",10:00pm,USD,Low Impact Expected,Prelim UoM Inflation Expectations,3.4%,3.1%,
"Sun, Nov 11",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Nov 12",6:50am,JPY,Low Impact Expected,Current Account,2.24T,2.10T,2.19T
"Mon, Nov 12",6:50am,JPY,Low Impact Expected,PPI y/y,2.4%,2.2%,1.7%
"Mon, Nov 12",7:30am,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
"Mon, Nov 12",8:45am,CNY,High Impact Expected,USD-Denominated Trade Balance,27.1B,30.8B,23.9B
"Mon, Nov 12",9:00am,CNY,Medium Impact Expected,New Loans,136B,284B,
"Mon, Nov 12",9:00am,CNY,Medium Impact Expected,PPI y/y,3.2%,3.0%,2.7%
"Mon, Nov 12",9:00am,CNY,Low Impact Expected,M2 Money Supply y/y,18.5%,18.5%,18.5%
"Mon, Nov 12",12:00pm,JPY,Low Impact Expected,Consumer Confidence,42.8,43.5,44.1
"Mon, Nov 12",2:10pm,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,11.2%,10.9%,
"Mon, Nov 12",4:30pm,GBP,High Impact Expected,PPI Input m/m,1.8%,1.5%,3.9%
"Mon, Nov 12",4:30pm,GBP,Low Impact Expected,ONS HPI y/y,10.8%,10.8%,11.3%
"Mon, Nov 12",4:30pm,GBP,Low Impact Expected,PPI Output m/m,0.6%,0.2%,0.3%
"Mon, Nov 12",All Day,USD,Non-Economic,Bank Holiday,,,
"Tue, Nov 13",4:45am,NZD,Low Impact Expected,FPI m/m,0.6%,0.4%,
"Tue, Nov 13",6:50am,JPY,High Impact Expected,Prelim GDP q/q,0.6%,0.5%,-0.3%
"Tue, Nov 13",6:50am,JPY,Medium Impact Expected,Prelim GDP Price Index y/y,-0.3%,-0.3%,-0.3%
"Tue, Nov 13",7:01am,GBP,Medium Impact Expected,RICS House Price Balance,-22%,-19%,-15%
"Tue, Nov 13",7:30am,AUD,Low Impact Expected,NAB Business Confidence,9,7,
"Tue, Nov 13",9:00am,CNY,Medium Impact Expected,CPI y/y,6.5%,6.3%,6.2%
"Tue, Nov 13",10:30am,JPY,Medium Impact Expected,Overnight Call Rate,0.50%,0.50%,0.50%
"Tue, Nov 13",1:00pm,JPY,Low Impact Expected,BOJ Monthly Report,,,
"Tue, Nov 13",2:23pm,JPY,High Impact Expected,BOJ Press Conference,,,
"Tue, Nov 13",2:45pm,EUR,Low Impact Expected,French Final CPI m/m,0.2%,0.2%,0.1%
"Tue, Nov 13",3:00pm,EUR,Low Impact Expected,Spanish Flash GDP q/q,0.7%,0.7%,0.9%
"Tue, Nov 13",4:00pm,EUR,Low Impact Expected,Italian Prelim GDP q/q,0.4%,0.3%,0.1%
"Tue, Nov 13",4:30pm,GBP,High Impact Expected,CPI y/y,2.1%,1.9%,1.8%
"Tue, Nov 13",4:30pm,GBP,Medium Impact Expected,Core CPI y/y,1.5%,1.7%,1.5%
"Tue, Nov 13",4:30pm,GBP,Low Impact Expected,RPI y/y,4.3%,4.2%,3.9%
"Tue, Nov 13",5:00pm,EUR,Medium Impact Expected,Industrial Production m/m,-0.7%,-0.3%,1.2%
"Tue, Nov 13",5:00pm,EUR,Medium Impact Expected,German ZEW Economic Sentiment,-32.5,-19.5,-18.1
"Tue, Nov 13",5:00pm,EUR,Low Impact Expected,ZEW Economic Sentiment,-30.0,-19.5,-19.0
"Tue, Nov 13",7:30pm,USD,Low Impact Expected,NFIB Small Business Index,96.2,97.3,
"Tue, Nov 13",9:00pm,USD,Low Impact Expected,FOMC Member Kroszner Speaks,,,
"Tue, Nov 13",10:00pm,USD,Low Impact Expected,RCM/TIPP Economic Optimism,43.8,46.3,47.3
"Wed, Nov 14",12:15am,CHF,Medium Impact Expected,Gov Board Member Jordan Speaks,,,
"Wed, Nov 14",2:00am,USD,Medium Impact Expected,Federal Budget Balance,-55.6B,-55.7B,111.6B
"Wed, Nov 14",3:00am,USD,High Impact Expected,Pending Home Sales m/m,0.2%,-2.6%,-6.5%
"Wed, Nov 14",4:45am,NZD,High Impact Expected,PPI Input q/q,2.3%,1.1%,1.3%
"Wed, Nov 14",4:45am,NZD,Low Impact Expected,PPI Output q/q,1.6%,1.1%,1.2%
"Wed, Nov 14",6:30am,AUD,Low Impact Expected,Westpac Consumer Sentiment,-4.2%,-0.3%,
"Wed, Nov 14",7:30am,AUD,Medium Impact Expected,Wage Price Index q/q,1.0%,0.9%,1.1%
"Wed, Nov 14",9:00am,CNY,Low Impact Expected,Retail Sales y/y,18.1%,17.0%,17.0%
"Wed, Nov 14",2:00pm,EUR,High Impact Expected,German Prelim GDP q/q,0.7%,0.6%,0.3%
"Wed, Nov 14",2:45pm,EUR,Low Impact Expected,French Prelim GDP q/q,0.7%,0.6%,0.3%
"Wed, Nov 14",4:30pm,GBP,High Impact Expected,Average Earnings Index 3m/y,4.1%,4.0%,3.7%
"Wed, Nov 14",4:30pm,GBP,Medium Impact Expected,Claimant Count Change,-9.9K,-6.2K,-13.9K
"Wed, Nov 14",4:30pm,GBP,Low Impact Expected,Unemployment Rate,5.4%,5.4%,5.4%
"Wed, Nov 14",5:00pm,EUR,Medium Impact Expected,Flash GDP q/q,0.7%,0.6%,0.3%
"Wed, Nov 14",5:10pm,EUR,Low Impact Expected,German 10-y Bond Auction,4.19|2.0,4.32|1.9,
"Wed, Nov 14",5:30pm,GBP,High Impact Expected,BOE Gov King Speaks,,,
"Wed, Nov 14",5:30pm,GBP,High Impact Expected,BOE Monetary Policy Report,,,
"Wed, Nov 14",8:30pm,CAD,Low Impact Expected,Leading Index m/m,0.1%,0.4%,0.3%
"Wed, Nov 14",8:30pm,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,-2.1%,-1.8%,2.7%
"Wed, Nov 14",8:30pm,USD,High Impact Expected,Core Retail Sales m/m,0.2%,0.3%,0.3%
"Wed, Nov 14",8:30pm,USD,High Impact Expected,PPI m/m,0.1%,0.3%,1.1%
"Wed, Nov 14",8:30pm,USD,High Impact Expected,Retail Sales m/m,0.2%,0.2%,0.7%
"Wed, Nov 14",8:30pm,USD,Medium Impact Expected,Core PPI m/m,0.0%,0.2%,0.1%
"Wed, Nov 14",8:45pm,CAD,Low Impact Expected,Gov Council Member Jenkins Speaks,,,
"Wed, Nov 14",9:10pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Wed, Nov 14",10:00pm,USD,Medium Impact Expected,Business Inventories m/m,0.4%,0.5%,0.3%
"Thu, Nov 15",4:45am,NZD,High Impact Expected,Core Retail Sales m/m,0.5%,0.4%,0.8%
"Thu, Nov 15",4:45am,NZD,High Impact Expected,Retail Sales m/m,1.0%,0.5%,0.3%
"Thu, Nov 15",4:45am,NZD,Low Impact Expected,Core Retail Sales q/q,0.2%,-0.9%,
"Thu, Nov 15",4:45am,NZD,Low Impact Expected,Retail Sales q/q,0.2%,0.3%,-0.5%
"Thu, Nov 15",5:00am,AUD,Low Impact Expected,MI Inflation Expectations,4.4%,4.6%,
"Thu, Nov 15",5:12am,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,56.9,55.1,
"Thu, Nov 15",6:50am,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-1.6%,-1.0%,1.2%
"Thu, Nov 15",7:30am,AUD,Low Impact Expected,RBA Bulletin,,,
"Thu, Nov 15",9:00am,CNY,High Impact Expected,Industrial Production y/y,17.9%,18.5%,18.9%
"Thu, Nov 15",2:00pm,EUR,Low Impact Expected,German Final CPI m/m,0.2%,0.2%,0.2%
"Thu, Nov 15",4:30pm,GBP,High Impact Expected,Retail Sales m/m,-0.1%,0.1%,0.3%
"Thu, Nov 15",4:44pm,EUR,Low Impact Expected,Spanish 10-y Bond Auction,4.26|2.3,4.64|1.7,
"Thu, Nov 15",5:00pm,CHF,Medium Impact Expected,Credit Suisse Economic Expectations,-28.9,-16.0,
"Thu, Nov 15",5:00pm,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
"Thu, Nov 15",5:00pm,EUR,Medium Impact Expected,Final CPI y/y,2.6%,2.6%,2.6%
"Thu, Nov 15",5:00pm,EUR,Low Impact Expected,Final Core CPI y/y,1.9%,1.9%,1.8%
"Thu, Nov 15",8:30pm,CAD,Medium Impact Expected,Manufacturing Sales m/m,-0.9%,-0.6%,-2.2%
"Thu, Nov 15",8:30pm,USD,High Impact Expected,Core CPI m/m,0.2%,0.2%,0.2%
"Thu, Nov 15",8:30pm,USD,High Impact Expected,CPI y/y,3.5%,2.7%,2.8%
"Thu, Nov 15",8:30pm,USD,Medium Impact Expected,CPI m/m,0.3%,0.3%,0.3%
"Thu, Nov 15",8:30pm,USD,Medium Impact Expected,Empire State Manufacturing Index,27.4,18.0,28.8
"Thu, Nov 15",8:30pm,USD,Low Impact Expected,Unemployment Claims,339K,320K,319K
"Thu, Nov 15",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,2.8M,-0.8M,-0.8M
"Thu, Nov 15",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-9B,-8B,36B
"Fri, Nov 16",12:00am,USD,Medium Impact Expected,Philly Fed Manufacturing Index,8.2,5.0,6.8
"Fri, Nov 16",6:50am,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
"Fri, Nov 16",9:00am,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,26.9%,26.2%,26.4%
"Fri, Nov 16",2:45pm,EUR,Medium Impact Expected,French Prelim Private Payrolls q/q,0.2%,0.3%,0.4%
"Fri, Nov 16",3:15pm,CHF,High Impact Expected,Retail Sales y/y,3.0%,2.1%,3.8%
"Fri, Nov 16",4:00pm,EUR,Low Impact Expected,Italian Trade Balance,-1.53B,-1.44B,-0.69B
"Fri, Nov 16",5:00pm,EUR,Low Impact Expected,Trade Balance,3.9B,3.8B,4.5B
"Fri, Nov 16",8:45pm,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
"Fri, Nov 16",9:00pm,USD,High Impact Expected,TIC Long-Term Purchases,26.4B,72.0B,-70.6B
"Fri, Nov 16",9:15pm,USD,Medium Impact Expected,Capacity Utilization Rate,81.7%,82.0%,82.2%
"Fri, Nov 16",9:15pm,USD,Medium Impact Expected,Industrial Production m/m,-0.5%,0.1%,0.2%
"Sat, Nov 17",Day 1,All,Low Impact Expected,G20 Meetings,,,
"Sun, Nov 18",Day 2,All,Medium Impact Expected,G20 Meetings,,,
"Mon, Nov 19",7:01am,GBP,Low Impact Expected,Rightmove HPI m/m,-0.7%,2.7%,
"Mon, Nov 19",6:00pm,EUR,Medium Impact Expected,German Buba Monthly Report,,,
"Mon, Nov 19",6:00pm,USD,Low Impact Expected,Treasury Sec Paulson Speaks,,,
"Mon, Nov 19",6:30pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Mon, Nov 19",8:30pm,CAD,Medium Impact Expected,Foreign Securities Purchases,-5.21B,1.27B,-3.82B
"Mon, Nov 19",8:30pm,CAD,Medium Impact Expected,Wholesale Sales m/m,1.1%,0.1%,-1.9%
"Mon, Nov 19",10:30pm,USD,Low Impact Expected,Treasury Sec Paulson Speaks,,,
"Tue, Nov 20",1:00am,USD,Medium Impact Expected,NAHB Housing Market Index,19,17,19
"Tue, Nov 20",4:45am,NZD,Low Impact Expected,Visitor Arrivals m/m,-2.6%,-3.4%,
"Tue, Nov 20",2:00pm,EUR,Low Impact Expected,German PPI m/m,0.4%,0.3%,0.2%
"Tue, Nov 20",2:15pm,CHF,Low Impact Expected,Trade Balance,1.56B,1.52B,1.71B
"Tue, Nov 20",4:30pm,GBP,Low Impact Expected,M4 Money Supply m/m,0.1%,1.0%,0.9%
"Tue, Nov 20",4:30pm,GBP,Low Impact Expected,Public Sector Net Borrowing,-1.0B,-2.8B,7.2B
"Tue, Nov 20",6:00pm,GBP,Medium Impact Expected,CBI Industrial Order Expectations,8,-7,-6
"Tue, Nov 20",6:15pm,GBP,Medium Impact Expected,MPC Member Gieve Speaks,,,
"Tue, Nov 20",7:00pm,CAD,High Impact Expected,Core CPI m/m,-0.2%,0.1%,0.4%
"Tue, Nov 20",7:00pm,CAD,Medium Impact Expected,CPI m/m,-0.3%,0.1%,0.2%
"Tue, Nov 20",8:30pm,USD,Medium Impact Expected,Building Permits,1.18M,1.20M,1.26M
"Tue, Nov 20",8:30pm,USD,Medium Impact Expected,Housing Starts,1.23M,1.17M,1.19M
"Wed, Nov 21",12:30am,CAD,Medium Impact Expected,Gov Council Member Duguay Speaks,,,
"Wed, Nov 21",2:00am,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Wed, Nov 21",6:00am,AUD,Low Impact Expected,CB Leading Index m/m,0.5%,0.7%,
"Wed, Nov 21",6:30am,AUD,Low Impact Expected,MI Leading Index m/m,0.8%,0.5%,
"Wed, Nov 21",6:50am,JPY,Low Impact Expected,All Industries Activity m/m,-1.6%,-1.4%,1.0%
"Wed, Nov 21",6:50am,JPY,Low Impact Expected,Trade Balance,1.07T,1.06T,1.05T
"Wed, Nov 21",7:30am,AUD,Low Impact Expected,New Motor Vehicle Sales m/m,1.1%,1.7%,
"Wed, Nov 21",9:00am,NZD,Low Impact Expected,Credit Card Spending y/y,7.8%,9.4%,
"Wed, Nov 21",4:00pm,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.2%,0.0%,0.3%
"Wed, Nov 21",4:30pm,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-2-7,0-2-7,0-1-8
"Wed, Nov 21",8:30pm,CAD,High Impact Expected,Core Retail Sales m/m,0.1%,0.3%,0.3%
"Wed, Nov 21",8:30pm,CAD,Medium Impact Expected,Retail Sales m/m,-0.2%,0.1%,0.7%
"Wed, Nov 21",8:30pm,USD,Medium Impact Expected,Unemployment Claims,330K,330K,341K
"Wed, Nov 21",10:00pm,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,76.1,75.0,75.0
"Wed, Nov 21",10:00pm,USD,Low Impact Expected,CB Leading Index m/m,-0.5%,-0.3%,0.1%
"Wed, Nov 21",10:00pm,USD,Low Impact Expected,Revised UoM Inflation Expectations,3.4%,3.4%,
"Wed, Nov 21",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-1.1M,0.8M,2.8M
"Wed, Nov 21",10:30pm,USD,Low Impact Expected,Natural Gas Storage,4B,2B,-9B
"Thu, Nov 22",2:00pm,EUR,Low Impact Expected,German Final GDP q/q,0.7%,0.7%,0.7%
