Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Mar 13",1:00pm,GBP,Low Impact Expected,Construction Output m/m,,,
"Wed, Mar 13",1:00pm,GBP,Low Impact Expected,Goods Trade Balance,,,
"Wed, Mar 13",1:00pm,GBP,Low Impact Expected,Index of Services 3m/3m,,,
"Wed, Mar 13",1:00pm,GBP,Low Impact Expected,Industrial Production m/m,,,
"Wed, Mar 13",1:00pm,GBP,Low Impact Expected,Manufacturing Production m/m,,,
"Wed, Mar 13",1:45pm,EUR,Low Impact Expected,French Final CPI m/m,,,
"Wed, Mar 13",3:00pm,EUR,Low Impact Expected,Italian Quarterly Unemployment Rate,,,
"Wed, Mar 13",4:00pm,EUR,Low Impact Expected,Industrial Production m/m,,,
"Wed, Mar 13",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Wed, Mar 13",4:00pm,Tentative,GBP,Low Impact Expected,10-y Bond Auction,,
"Wed, Mar 13",4:00pm,Tentative,EUR,Low Impact Expected,German 10-y Bond Auction,,
"Wed, Mar 13",4:00pm,Tentative,GBP,Low Impact Expected,NIESR GDP Estimate,,
"Wed, Mar 13",7:30pm,GBP,High Impact Expected,Annual Budget Release,,,
"Wed, Mar 13",9:30pm,USD,Low Impact Expected,Crude Oil Inventories,,,
"Thu, Mar 14",12:01am,USD,Medium Impact Expected,30-y Bond Auction,,,
"Thu, Mar 14",4:45am,NZD,Low Impact Expected,Visitor Arrivals m/m,,,
"Thu, Mar 14",8:30am,CNY,Low Impact Expected,New Home Prices m/m,,,
"Thu, Mar 14",11:30am,JPY,Low Impact Expected,Revised Industrial Production m/m,,,
"Thu, Mar 14",1:00pm,EUR,Low Impact Expected,German WPI m/m,,,
"Thu, Mar 14",1:00pm,Tentative,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,,
"Thu, Mar 14",1:30pm,CHF,Low Impact Expected,PPI m/m,,,
"Thu, Mar 14",2:00pm,CHF,Low Impact Expected,SECO Economic Forecasts,,,
"Thu, Mar 14",7:30pm,CAD,Low Impact Expected,Manufacturing Sales m/m,,,
"Thu, Mar 14",7:30pm,USD,High Impact Expected,Core PPI m/m,,,
"Thu, Mar 14",7:30pm,USD,High Impact Expected,Core Retail Sales m/m,,,
"Thu, Mar 14",7:30pm,USD,High Impact Expected,PPI m/m,,,
"Thu, Mar 14",7:30pm,USD,High Impact Expected,Retail Sales m/m,,,
"Thu, Mar 14",7:30pm,USD,High Impact Expected,Unemployment Claims,,,
"Thu, Mar 14",9:00pm,USD,Low Impact Expected,Business Inventories m/m,,,
"Thu, Mar 14",9:30pm,USD,Low Impact Expected,Natural Gas Storage,,,
"Fri, Mar 15",4:30am,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,,,
"Fri, Mar 15",9:00am,CNY,High Impact Expected,Industrial Production y/y,,,
"Fri, Mar 15",9:00am,CNY,Medium Impact Expected,Retail Sales y/y,,,
"Fri, Mar 15",9:00am,CNY,Low Impact Expected,Fixed Asset Investment ytd/y,,,
"Fri, Mar 15",9:00am,CNY,Low Impact Expected,NBS Press Conference,,,
"Fri, Mar 15",9:00am,CNY,Low Impact Expected,Unemployment Rate,,,
"Fri, Mar 15",11:30am,JPY,Low Impact Expected,Tertiary Industry Activity m/m,,,
"Fri, Mar 15",3:30pm,GBP,Low Impact Expected,Consumer Inflation Expectations,,,
"Fri, Mar 15",7:15pm,CAD,Low Impact Expected,Housing Starts,,,
"Fri, Mar 15",7:30pm,CAD,Low Impact Expected,Foreign Securities Purchases,,,
"Fri, Mar 15",7:30pm,CAD,Low Impact Expected,Wholesale Sales m/m,,,
"Fri, Mar 15",7:30pm,USD,High Impact Expected,Empire State Manufacturing Index,,,
"Fri, Mar 15",7:30pm,USD,Low Impact Expected,Import Prices m/m,,,
"Fri, Mar 15",8:15pm,USD,Medium Impact Expected,Industrial Production m/m,,,
"Fri, Mar 15",8:15pm,USD,Low Impact Expected,Capacity Utilization Rate,,,
"Fri, Mar 15",9:00pm,USD,High Impact Expected,Prelim UoM Consumer Sentiment,,,
"Fri, Mar 15",9:00pm,USD,Medium Impact Expected,Prelim UoM Inflation Expectations,,,
"Mon, Mar 18",4:30am,NZD,Low Impact Expected,BusinessNZ Services Index,,,
"Mon, Mar 18",6:01am,GBP,Low Impact Expected,Rightmove HPI m/m,,,
"Mon, Mar 18",6:50am,JPY,Low Impact Expected,Core Machinery Orders m/m,,,
"Mon, Mar 18",4:00pm,EUR,Low Impact Expected,Final Core CPI y/y,,,
"Mon, Mar 18",4:00pm,EUR,Low Impact Expected,Final CPI y/y,,,
"Mon, Mar 18",4:00pm,EUR,Low Impact Expected,Trade Balance,,,
"Mon, Mar 18",7:30pm,CAD,Low Impact Expected,IPPI m/m,,,
"Mon, Mar 18",7:30pm,CAD,Low Impact Expected,RMPI m/m,,,
"Mon, Mar 18",9:00pm,USD,Low Impact Expected,NAHB Housing Market Index,,,
"Tue, Mar 19",Tentative,JPY,High Impact Expected,Monetary Policy Statement,,,
"Tue, Mar 19",9:00pm,Tentative,JPY,Medium Impact Expected,BOJ Policy Rate,,
"Tue, Mar 19",10:30am,AUD,High Impact Expected,Cash Rate,,,
"Tue, Mar 19",10:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Mar 19",10:30am,Tentative,JPY,High Impact Expected,BOJ Press Conference,,
"Tue, Mar 19",4:00pm,EUR,Low Impact Expected,German ZEW Economic Sentiment,,,
"Tue, Mar 19",4:00pm,EUR,Low Impact Expected,ZEW Economic Sentiment,,,
"Tue, Mar 19",7:30pm,CAD,High Impact Expected,CPI m/m,,,
"Tue, Mar 19",7:30pm,CAD,High Impact Expected,Median CPI y/y,,,
"Tue, Mar 19",7:30pm,CAD,High Impact Expected,Trimmed CPI y/y,,,
"Tue, Mar 19",7:30pm,CAD,Medium Impact Expected,Common CPI y/y,,,
"Tue, Mar 19",7:30pm,CAD,Low Impact Expected,Core CPI m/m,,,
"Tue, Mar 19",7:30pm,USD,Medium Impact Expected,Building Permits,,,
"Tue, Mar 19",7:30pm,USD,Low Impact Expected,Housing Starts,,,
"Tue, Mar 19",7:30pm,Tentative,NZD,Low Impact Expected,GDT Price Index,,
"Wed, Mar 20",3:00am,NZD,Low Impact Expected,Westpac Consumer Sentiment,,,
"Wed, Mar 20",3:00am,USD,Low Impact Expected,TIC Long-Term Purchases,,,
"Wed, Mar 20",4:45am,NZD,Low Impact Expected,Current Account,,,
"Wed, Mar 20",All Day,JPY,Non-Economic,Bank Holiday,,,
"Wed, Mar 20",6:30am,AUD,Low Impact Expected,MI Leading Index m/m,,,
"Wed, Mar 20",8:15am,CNY,Medium Impact Expected,1-y Loan Prime Rate,,,
"Wed, Mar 20",8:15am,CNY,Medium Impact Expected,5-y Loan Prime Rate,,,
"Wed, Mar 20",1:00pm,EUR,Low Impact Expected,German PPI m/m,,,
"Wed, Mar 20",1:00pm,GBP,High Impact Expected,CPI y/y,,,
"Wed, Mar 20",1:00pm,GBP,Low Impact Expected,Core CPI y/y,,,
"Wed, Mar 20",1:00pm,GBP,Low Impact Expected,PPI Input m/m,,,
"Wed, Mar 20",1:00pm,GBP,Low Impact Expected,PPI Output m/m,,,
"Wed, Mar 20",1:00pm,GBP,Low Impact Expected,RPI y/y,,,
"Wed, Mar 20",3:00pm,EUR,Low Impact Expected,Current Account,,,
"Wed, Mar 20",3:30pm,GBP,Low Impact Expected,HPI y/y,,,
"Wed, Mar 20",3:30pm,Tentative,EUR,Low Impact Expected,German 30-y Bond Auction,,
"Wed, Mar 20",5:00pm,GBP,Low Impact Expected,CBI Industrial Order Expectations,,,
"Wed, Mar 20",7:30pm,CAD,Low Impact Expected,NHPI m/m,,,
"Wed, Mar 20",9:30pm,AUD,Low Impact Expected,CB Leading Index m/m,,,
"Wed, Mar 20",9:30pm,USD,Low Impact Expected,Crude Oil Inventories,,,
"Thu, Mar 21",12:30am,CAD,Low Impact Expected,BOC Summary of Deliberations,,,
"Thu, Mar 21",1:00am,USD,High Impact Expected,Federal Funds Rate,,,
"Thu, Mar 21",1:00am,USD,High Impact Expected,FOMC Economic Projections,,,
"Thu, Mar 21",1:00am,USD,High Impact Expected,FOMC Statement,,,
"Thu, Mar 21",1:30am,USD,High Impact Expected,FOMC Press Conference,,,
"Thu, Mar 21",4:45am,NZD,High Impact Expected,GDP q/q,,,
"Thu, Mar 21",5:00am,AUD,Low Impact Expected,Flash Manufacturing PMI,,,
"Thu, Mar 21",5:00am,AUD,Low Impact Expected,Flash Services PMI,,,
"Thu, Mar 21",6:50am,JPY,Low Impact Expected,Trade Balance,,,
"Thu, Mar 21",7:30am,AUD,High Impact Expected,Employment Change,,,
"Thu, Mar 21",7:30am,AUD,High Impact Expected,Unemployment Rate,,,
"Thu, Mar 21",7:30am,JPY,Low Impact Expected,Flash Manufacturing PMI,,,
"Thu, Mar 21",9:00am,NZD,Low Impact Expected,Credit Card Spending y/y,,,
"Thu, Mar 21",1:00pm,CHF,Low Impact Expected,Trade Balance,,,
"Thu, Mar 21",1:00pm,GBP,Low Impact Expected,Public Sector Net Borrowing,,,
"Thu, Mar 21",2:15pm,EUR,High Impact Expected,French Flash Manufacturing PMI,,,
"Thu, Mar 21",2:15pm,EUR,High Impact Expected,French Flash Services PMI,,,
"Thu, Mar 21",2:30pm,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,
"Thu, Mar 21",2:30pm,CHF,High Impact Expected,SNB Policy Rate,,,
"Thu, Mar 21",2:30pm,EUR,High Impact Expected,German Flash Manufacturing PMI,,,
"Thu, Mar 21",2:30pm,EUR,High Impact Expected,German Flash Services PMI,,,
"Thu, Mar 21",3:00pm,EUR,Medium Impact Expected,Flash Manufacturing PMI,,,
"Thu, Mar 21",3:00pm,EUR,Medium Impact Expected,Flash Services PMI,,,
"Thu, Mar 21",3:00pm,EUR,Medium Impact Expected,German ifo Business Climate,,,
"Thu, Mar 21",3:00pm,EUR,Low Impact Expected,ECB Economic Bulletin,,,
"Thu, Mar 21",3:30pm,CHF,High Impact Expected,SNB Press Conference,,,
"Thu, Mar 21",3:30pm,GBP,High Impact Expected,Flash Manufacturing PMI,,,
"Thu, Mar 21",3:30pm,GBP,High Impact Expected,Flash Services PMI,,,
"Thu, Mar 21",5:00pm,GBP,Low Impact Expected,CBI Realized Sales,,,
"Thu, Mar 21",6:00pm,GBP,High Impact Expected,Monetary Policy Summary,,,
"Thu, Mar 21",6:00pm,GBP,High Impact Expected,MPC Official Bank Rate Votes,,,
"Thu, Mar 21",6:00pm,GBP,High Impact Expected,Official Bank Rate,,,
"Thu, Mar 21",7:30pm,USD,High Impact Expected,Unemployment Claims,,,
"Thu, Mar 21",7:30pm,USD,Medium Impact Expected,Philly Fed Manufacturing Index,,,
"Thu, Mar 21",7:30pm,USD,Low Impact Expected,Current Account,,,
"Thu, Mar 21",8:00pm,CNY,Low Impact Expected,CB Leading Index m/m,,,
"Thu, Mar 21",8:45pm,USD,High Impact Expected,Flash Manufacturing PMI,,,
"Thu, Mar 21",8:45pm,USD,High Impact Expected,Flash Services PMI,,,
"Thu, Mar 21",9:00pm,EUR,Low Impact Expected,Consumer Confidence,,,
"Thu, Mar 21",9:00pm,USD,Medium Impact Expected,Existing Home Sales,,,
"Thu, Mar 21",9:00pm,USD,Low Impact Expected,CB Leading Index m/m,,,
"Thu, Mar 21",9:30pm,USD,Low Impact Expected,Natural Gas Storage,,,
"Fri, Mar 22",4:45am,NZD,Low Impact Expected,Trade Balance,,,
"Fri, Mar 22",6:01am,GBP,Low Impact Expected,GfK Consumer Confidence,,,
"Fri, Mar 22",6:30am,JPY,Low Impact Expected,National Core CPI y/y,,,
"Fri, Mar 22",7:30am,AUD,Low Impact Expected,RBA Financial Stability Review,,,
"Fri, Mar 22",1:00pm,GBP,High Impact Expected,Retail Sales m/m,,,
"Fri, Mar 22",7:30pm,CAD,Medium Impact Expected,Core Retail Sales m/m,,,
"Fri, Mar 22",7:30pm,CAD,Medium Impact Expected,Retail Sales m/m,,,
"Mon, Mar 25",6:50am,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,,
"Mon, Mar 25",6:50am,Tentative,EUR,Low Impact Expected,German Buba Monthly Report,,
"Mon, Mar 25",9:00pm,USD,Medium Impact Expected,New Home Sales,,,
"Tue, Mar 26",6:50am,JPY,Low Impact Expected,SPPI y/y,,,
"Tue, Mar 26",12:00pm,JPY,Low Impact Expected,BOJ Core CPI y/y,,,
"Tue, Mar 26",1:00pm,EUR,Low Impact Expected,German GfK Consumer Climate,,,
"Tue, Mar 26",7:30pm,USD,Medium Impact Expected,Core Durable Goods Orders m/m,,,
"Tue, Mar 26",7:30pm,USD,Medium Impact Expected,Durable Goods Orders m/m,,,
"Tue, Mar 26",8:00pm,EUR,Low Impact Expected,Belgian NBB Business Climate,,,
"Tue, Mar 26",8:00pm,USD,Medium Impact Expected,S&P/CS Composite-20 HPI y/y,,,
"Tue, Mar 26",8:00pm,USD,Low Impact Expected,HPI m/m,,,
"Tue, Mar 26",9:00pm,USD,High Impact Expected,CB Consumer Confidence,,,
"Tue, Mar 26",9:00pm,USD,Medium Impact Expected,Richmond Manufacturing Index,,,
"Wed, Mar 27",6:01am,GBP,Low Impact Expected,BRC Shop Price Index y/y,,,
"Wed, Mar 27",7:00am,NZD,Low Impact Expected,ANZ Business Confidence,,,
"Wed, Mar 27",7:30am,AUD,High Impact Expected,CPI y/y,,,
"Wed, Mar 27",7:30am,Tentative,GBP,Low Impact Expected,FPC Meeting Minutes,,
"Wed, Mar 27",7:30am,Tentative,GBP,Low Impact Expected,FPC Statement,,
"Wed, Mar 27",3:00pm,CHF,Low Impact Expected,Credit Suisse Economic Expectations,,,
"Wed, Mar 27",3:00pm,EUR,Low Impact Expected,M3 Money Supply y/y,,,
"Wed, Mar 27",3:00pm,EUR,Low Impact Expected,Private Loans y/y,,,
"Wed, Mar 27",8:00pm,CHF,Low Impact Expected,SNB Quarterly Bulletin,,,
"Wed, Mar 27",9:30pm,USD,Low Impact Expected,Crude Oil Inventories,,,
"Thu, Mar 28",6:50am,JPY,Low Impact Expected,BOJ Summary of Opinions,,,
"Thu, Mar 28",7:00am,AUD,Low Impact Expected,MI Inflation Expectations,,,
"Thu, Mar 28",7:30am,AUD,Medium Impact Expected,Retail Sales m/m,,,
"Thu, Mar 28",7:30am,AUD,Low Impact Expected,Private Sector Credit m/m,,,
"Thu, Mar 28",1:00pm,EUR,Low Impact Expected,German Import Prices m/m,,,
"Thu, Mar 28",1:00pm,GBP,Low Impact Expected,Current Account,,,
"Thu, Mar 28",1:00pm,GBP,Low Impact Expected,Final GDP q/q,,,
"Thu, Mar 28",1:00pm,GBP,Low Impact Expected,Revised Business Investment q/q,,,
"Thu, Mar 28",1:00pm,Tentative,GBP,Low Impact Expected,Nationwide HPI m/m,,
"Thu, Mar 28",1:45pm,EUR,Low Impact Expected,French Prelim CPI m/m,,,
"Thu, Mar 28",2:00pm,CHF,Low Impact Expected,KOF Economic Barometer,,,
"Thu, Mar 28",2:00pm,EUR,Medium Impact Expected,Spanish Flash CPI y/y,,,
"Thu, Mar 28",2:55pm,EUR,Low Impact Expected,German Unemployment Change,,,
"Thu, Mar 28",3:00pm,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,,,
"Thu, Mar 28",4:00pm,EUR,Low Impact Expected,Italian Prelim CPI m/m,,,
"Thu, Mar 28",4:00pm,Tentative,EUR,Low Impact Expected,Italian 10-y Bond Auction,,
